customer_id,customer_name,product_category,purchase_amount,delivery_status,payment_status,customer_age,customer_gender,product_rating,shipping_region,loyalty_status,country
1001.0,Daniel Brown,books,235.0,delivered,completed,27.0,Female,3.0,East,Platinum,Italy
1002.0,Jessica Jones,,88.0,delivered,completed,49.0,Male,4.0,South,Gold,France
1003.0,Jennifer Davis,electronics,103.0,delivered,completed,34.0,Male,3.0,,Platinum,Japan
1004.0,Sarah Jones,books,122.0,delivered,completed,27.0,,3.0,East,Platinum,
1005.0,Daniel Johnson,books,58.0,delivered,completed,39.0,,4.0,East,,Mexico
,Michael Miller,appliances,32.0,delivered,completed,23.0,Female,2.0,South,Silver,Brazil
1007.0,David Johnson,electronics,,delivered,cancelled,,Male,2.0,West,Platinum,Mexico
1008.0,John Jones,electronics,287.0,,completed,37.0,Male,2.0,East,Gold,France
1009.0,Jennifer Johnson,books,32.0,delivered,completed,18.0,Male,4.0,North,,Spain
1010.0,Jennifer Smith,clothing,,delivered,completed,34.0,Male,4.0,North,Silver,Italy
1011.0,John Brown,books,76.0,,completed,18.0,,4.0,East,,
1012.0,John Jones,books,,cancelled,completed,,Male,2.0,East,Platinum,Germany
1013.0,Emily Davis,books,,delivered,completed,,Male,,,Platinum,China
1014.0,Daniel Williams,books,192.0,delivered,pending,18.0,Female,,West,Gold,Spain
1015.0,Daniel Miller,appliances,54.0,delivered,completed,,Female,2.0,,Gold,China
1016.0,Michael Williams,electronics,278.0,,completed,,,1.0,West,Platinum,Japan
1017.0,David Smith,appliances,24.0,delivered,completed,62.0,Female,4.0,West,Platinum,South Korea
1018.0,Emily Smith,,237.0,delivered,completed,60.0,Female,4.0,East,Gold,Canada
1019.0,Emily Smith,appliances,30.0,,pending,61.0,,4.0,East,Silver,South Korea
1020.0,Sarah Williams,books,136.0,delivered,completed,55.0,Male,2.0,West,Platinum,Spain
1021.0,Aarav Sharma,clothing,,shipped,completed,60.0,Male,2.0,South,Gold,India
1022.0,David Johnson,electronics,135.0,delivered,,19.0,Male,1.0,West,Silver,Japan
1023.0,,clothing,181.0,delivered,,35.0,Male,1.0,North,,Spain
1024.0,Michael Davis,appliances,86.0,shipped,completed,,Female,2.0,East,Platinum,USA
1025.0,John Brown,appliances,219.0,delivered,,46.0,Male,2.0,South,Gold,
1026.0,Emily Jones,clothing,50.0,shipped,completed,,Female,2.0,South,Platinum,Australia
1027.0,Jessica Miller,clothing,94.0,delivered,completed,64.0,Female,4.0,East,Gold,China
1028.0,Daniel Miller,clothing,256.0,pending,completed,26.0,Female,1.0,South,Gold,
1029.0,Sarah Williams,appliances,85.0,shipped,pending,25.0,Male,4.0,North,Platinum,Spain
,John Smith,appliances,89.0,,completed,67.0,Female,3.0,East,Platinum,Brazil
1031.0,Jessica Miller,electronics,39.0,pending,pending,33.0,Male,3.0,West,Platinum,Russia
1032.0,Jennifer Johnson,electronics,245.0,delivered,,40.0,Male,3.0,East,Gold,
1033.0,Sarah Brown,appliances,218.0,delivered,completed,46.0,Male,3.0,,Platinum,China
1034.0,,,,delivered,completed,27.0,Female,4.0,South,Gold,Brazil
1035.0,Jessica Garcia,clothing,164.0,delivered,cancelled,29.0,Female,3.0,East,Silver,China
,John Jones,electronics,,pending,completed,69.0,Female,2.0,,Gold,China
1037.0,John Johnson,appliances,,delivered,completed,29.0,Male,3.0,West,Platinum,Russia
,Sarah Williams,electronics,257.0,,completed,47.0,Female,2.0,,,Mexico
1039.0,Daniel Williams,electronics,89.0,,cancelled,27.0,Female,4.0,East,Silver,Spain
,,books,185.0,delivered,cancelled,31.0,Male,1.0,North,Silver,France
